x,y,z
[-1.7935734  -1.84653654  4.81185797],"Aruco, [0]"
x,y,z
[-1.56074717 -1.82340006  4.78501877],n-fold
[-1.76130551 -1.13142826  4.45768553],n-fold
[-1.48476238 -0.53324554  4.3463246 ],"Aruco, [1]"
[-1.96231722 -1.12253071  4.49294741],"Aruco, [2]"
[-1.75980987 -1.81911659  4.81812564],"Aruco, [0]"
x,y,z
[-1.53080738 -1.79384807  4.78542138],n-fold
[-1.73700981 -1.10650781  4.46254312],n-fold
[-1.91939705 -0.42424766  4.14219416],n-fold
[-2.1996447  -1.65307835  4.59126516],n-fold
[-1.26710829 -0.51736045  4.2934622 ],n-fold
[-1.43814727 -0.49596396  4.27331978],"Aruco, [1]"
[-1.93072309 -1.09555208  4.48022251],"Aruco, [2]"
[-1.73567098 -1.79694164  4.83253444],"Aruco, [0]"
x,y,z
[-1.50577102 -1.76992199  4.79292922],n-fold
[-1.71308449 -1.08316953  4.46110771],n-fold
[-1.89859399 -0.40292428  4.13781262],n-fold
[-1.23986619 -0.48675017  4.26667797],n-fold
[-2.17938121 -1.63792168  4.60728771],n-fold
[-1.41245013 -0.46760906  4.25334306],"Aruco, [1]"
[-1.89851591 -1.06862364  4.46308516],"Aruco, [2]"
[-1.7206766  -1.78349923  4.86790028],"Aruco, [0]"
x,y,z
[-1.47812394 -1.74733593  4.79381014],n-fold
[-1.87507643 -0.38390512  4.12748371],n-fold
[-1.6879402  -1.06190418  4.45665722],n-fold
[-1.21192787 -0.45982319  4.23842064],n-fold
[-2.15726477 -1.62370017  4.61789104],n-fold
[-1.39598842 -0.4462842   4.2589505 ],"Aruco, [1]"
[-1.87935809 -1.05199466  4.47289218],"Aruco, [2]"
[-1.68087378 -1.74975897  4.83553786],"Aruco, [0]"
x,y,z
[-1.4507972  -1.72766205  4.78956288],n-fold
[-1.6694522  -1.04912543  4.4678305 ],n-fold
[-1.18685273 -0.43921876  4.21964489],n-fold
[-1.37029883 -0.42673753  4.23823409],"Aruco, [1]"
[-1.85259242 -1.03518064  4.46445075],"Aruco, [2]"
[-1.65902176 -1.73651043  4.84836985],"Aruco, [0]"
x,y,z
[-1.42411701 -1.71413682  4.78422744],n-fold
[-1.16511711 -0.42673665  4.20771301],n-fold
[-1.64926259 -1.04105204  4.47243577],n-fold
[-1.83868727 -0.36496577  4.13199186],n-fold
[-1.33284875 -0.41118408  4.18000412],"Aruco, [1]"
[-1.81337113 -1.01776412  4.42345891],"Aruco, [2]"
[-1.62609251 -1.7176934   4.82602902],"Aruco, [0]"
x,y,z
[-1.63287812 -1.04037201  4.48606943],n-fold
[-1.14931901 -0.42149854  4.2135355 ],n-fold
[-2.09654841 -1.61129848  4.65297455],n-fold
[-1.30951444 -0.4056472   4.16424948],"Aruco, [1]"
[-2.00109527 -0.3526821   4.13252123],"Aruco, [8]"
[-1.78311226 -1.00884283  4.39971198],"Aruco, [2]"
[-1.5870183  -1.69832394  4.78567944],"Aruco, [0]"
x,y,z
[-1.36873007 -1.70317929  4.76886136],n-fold
[-1.62201559 -1.0513384   4.51834543],n-fold
[-1.13540567 -0.42564468  4.22904105],n-fold
[-1.29671175 -0.41129708  4.17852635],"Aruco, [1]"
[-1.95056327 -0.35819611  4.06986771],"Aruco, [8]"
[-1.77937728 -1.02420965  4.44738341],"Aruco, [2]"
[-2.21312263 -1.57272967  4.57213187],"Aruco, [3]"
[-1.56497194 -1.70342769  4.79721783],"Aruco, [0]"
x,y,z
[-1.59956589 -1.06356577  4.51766849],n-fold
[-1.27042284 -0.41968313  4.15519037],"Aruco, [1]"
[-1.92512947 -0.37399264  4.05996258],"Aruco, [8]"
[-1.72256164 -1.01935211  4.36255712],"Aruco, [2]"
[-2.18701308 -1.58723951  4.57076933],"Aruco, [3]"
[-1.5116762  -1.68181783  4.70755426],"Aruco, [0]"
x,y,z
[-1.59270514 -1.08928944  4.55637353],n-fold
[-2.0504884  -1.66979442  4.72084469],n-fold
[-1.27108474 -0.4432716   4.20638985],"Aruco, [1]"
[-1.97605347 -0.41148805  4.21044425],"Aruco, [8]"
[-1.74586162 -1.06242215  4.47437489],"Aruco, [2]"
[-2.2200546  -1.64681948  4.69149632],"Aruco, [3]"
[-1.51228628 -1.72578192  4.7857772 ],"Aruco, [0]"
x,y,z
[-1.29334025 -0.48091887  4.33410432],"Aruco, [1]"
[-1.99474862 -0.45010174  4.29867547],"Aruco, [8]"
[-1.77324409 -1.11731417  4.60253983],"Aruco, [2]"
[-1.47728687 -1.73283145  4.74649891],"Aruco, [0]"
[-2.20609222 -1.67954231  4.71633691],"Aruco, [3]"
x,y,z
[-1.57730436 -1.15668026  4.63265619],n-fold
[-1.24708355 -1.74097674  4.67927073],n-fold
[-1.09669976 -0.51210101  4.33727957],n-fold
[-2.02319797 -1.73882242  4.77209787],n-fold
[-1.80558612 -0.48959565  4.33212901],n-fold
[-1.37050319 -0.54489216  4.65553846],"Aruco, [1]"
[-1.99261974 -0.48566861  4.33922587],"Aruco, [8]"
[-1.73983582 -1.13677952  4.5717037 ],"Aruco, [2]"
[-1.44723085 -1.74961842  4.72594127],"Aruco, [0]"
[-2.19289276 -1.71713916  4.74195111],"Aruco, [3]"
x,y,z
