x,y,z
[-1.57861511 -1.52855536  4.42156794],"Aruco, [2]"
[-2.02583768 -0.97360471  4.59024063],"Aruco, [8]"
x,y,z
[-1.36650209 -1.49954742  4.35812524],n-fold
[-0.97573189 -0.87079937  4.29260824],n-fold
[-1.77597171 -0.93488179  4.46200515],n-fold
[-0.8935429  -1.91156475  3.99946495],n-fold
[-1.71626915 -2.03911941  4.30890493],n-fold
[-1.09211588 -1.93878719  4.06446531],"Aruco, [0]"
[-1.19812879 -0.90460576  4.41501189],"Aruco, [1]"
[-1.92400954 -2.06500717  4.38622274],"Aruco, [3]"
[-1.58565934 -1.53573977  4.44565686],"Aruco, [2]"
[-2.00249622 -0.95987873  4.53999961],"Aruco, [8]"
x,y,z
[-1.36394124 -1.49400693  4.34984293],n-fold
[-1.77151665 -0.92757327  4.45019955],n-fold
[-0.97478969 -0.86840575  4.2915537 ],n-fold
[-1.71451139 -2.03271744  4.2997781 ],n-fold
[-0.89452189 -1.9110017   4.00038055],n-fold
[-1.10707548 -1.96475423  4.11890346],"Aruco, [0]"
[-1.19172395 -0.89770239  4.39547738],"Aruco, [1]"
[-1.93603358 -2.07212222  4.40762282],"Aruco, [3]"
[-1.57755299 -1.52417071  4.42192778],"Aruco, [2]"
[-1.99484302 -0.95065364  4.51992952],"Aruco, [8]"
x,y,z
[-1.36567069 -1.49085642  4.35309667],n-fold
[-0.9752534  -0.86492094  4.29177396],n-fold
[-1.77158189 -0.92365727  4.44996648],n-fold
[-1.71772808 -2.03029773  4.30485505],n-fold
[-0.89703992 -1.90802744  4.00412337],n-fold
[-1.10800107 -1.95818165  4.11452624],"Aruco, [0]"
[-1.19284127 -0.89425598  4.39830599],"Aruco, [1]"
[-1.93737163 -2.06756456  4.40824406],"Aruco, [3]"
[-1.57860986 -1.51956274  4.42274316],"Aruco, [2]"
[-1.99927108 -0.94838513  4.52906623],"Aruco, [8]"
x,y,z
[-1.36693168 -1.49195373  4.35798979],n-fold
[-0.89904407 -1.90969329  4.00947023],n-fold
[-0.97481836 -0.86498009  4.29384765],n-fold
[-1.77082449 -0.92299936  4.45118694],n-fold
[-1.72017437 -2.03124537  4.31039799],n-fold
[-1.11050691 -1.96091407  4.12249516],"Aruco, [0]"
[-1.1965775  -0.89713966  4.4146513 ],"Aruco, [1]"
[-1.94672647 -2.07531232  4.42779048],"Aruco, [3]"
[-1.56193086 -1.50357321  4.37712366],"Aruco, [2]"
[-2.00272702 -0.94902638  4.53956471],"Aruco, [8]"
x,y,z
[-1.07777207 -1.90201741  3.99988437],"Aruco, [0]"
[-1.18213219 -0.88332351  4.36130754],"Aruco, [1]"
[-1.91764337 -2.0402342   4.35813812],"Aruco, [3]"
[-1.56241175 -1.50043689  4.37329612],"Aruco, [2]"
[-1.98925672 -0.94038907  4.50728497],"Aruco, [8]"
x,y,z
[-1.36972367 -1.48269649  4.34324679],n-fold
[-1.77374388 -0.91550688  4.44315323],n-fold
[-0.97132814 -0.8549143   4.26738556],n-fold
[-1.72718701 -2.02389758  4.30622576],n-fold
[-0.89904514 -1.8968748   3.98551906],n-fold
[-1.11356122 -1.95216001  4.11060063],"Aruco, [0]"
[-1.18613308 -0.88069928  4.36092576],"Aruco, [1]"
[-1.93557179 -2.04809587  4.38388882],"Aruco, [3]"
[-1.5851798  -1.51302389  4.41998067],"Aruco, [2]"
[-2.01081458 -0.94390756  4.54453916],"Aruco, [8]"
x,y,z
[-1.37712032 -1.48822381  4.36546688],n-fold
[-1.73349624 -2.02826549  4.32282601],n-fold
[-0.97641078 -0.85766338  4.28449243],n-fold
[-1.77278366 -0.91428053  4.44562668],n-fold
[-0.90647156 -1.90276403  4.00358647],n-fold
[-1.11049448 -1.93856243  4.08773428],"Aruco, [0]"
[-1.19385786 -0.88619137  4.38798079],"Aruco, [1]"
[-1.94427264 -2.05478954  4.40545588],"Aruco, [3]"
[-1.59341045 -1.51976844  4.44402984],"Aruco, [2]"
[-1.99655836 -0.93640879  4.51761009],"Aruco, [8]"
x,y,z
[-1.77103213 -0.91117431  4.44444208],n-fold
[-0.9724569  -0.8545974   4.27730591],n-fold
[-1.37368494 -1.48385462  4.35773471],n-fold
[-0.90332644 -1.89730365  3.99370841],n-fold
[-1.72857055 -2.02043949  4.30988727],n-fold
[-1.1212203  -1.95832791  4.13241139],"Aruco, [0]"
[-1.19825803 -0.8892974   4.41246996],"Aruco, [1]"
[-1.95401457 -2.06283875  4.42717655],"Aruco, [3]"
[-1.59227538 -1.51753937  4.44415354],"Aruco, [2]"
[-1.99935322 -0.93518643  4.52659777],"Aruco, [8]"
x,y,z
[-0.96957384 -0.85010052  4.27537468],n-fold
[-1.36920063 -1.4757264   4.34761773],n-fold
[-1.76924768 -0.90598904  4.44445704],n-fold
[-0.90160829 -1.89381319  3.99222681],n-fold
[-1.72658944 -2.01375499  4.30511849],n-fold
[-1.12391303 -1.96105392  4.1448392 ],"Aruco, [0]"
[-1.19216868 -0.88132256  4.39831342],"Aruco, [1]"
[-1.95428079 -2.05680308  4.42545728],"Aruco, [3]"
[-1.5922236  -1.51261351  4.44625015],"Aruco, [2]"
[-1.9976206  -0.92898222  4.52626086],"Aruco, [8]"
