Format Version,1.23,Take Name,experiment_005,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2025-05-08 01.49.57.954 ,Capture Start Frame,3442474,Total Frames in Take,11569,Total Exported Frames,11569,Rotation Type,XZY,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Tavle,Tavle,Tavle,Tavle,Tavle,Tavle,Telefon,Telefon,Telefon,Telefon,Telefon,Telefon
,ID,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,193EA3EC2BE911F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB,84A82AC2BF011F015A14DC6E7103CBB
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Z,Y,X,Y,Z,X,Z,Y,X,Y,Z
54,0.225000,0.632582,0.202638,0.047800,2.763599,1.977712,-2.855483,-2.363804,1.093759,90.687393,2.572732,1.744160,-0.641966
55,0.229000,0.592717,0.211458,0.035607,2.763597,1.977716,-2.855491,-2.417845,1.081035,90.651146,2.572774,1.744087,-0.642038
56,0.233000,0.631081,0.216576,0.044929,2.763602,1.977717,-2.855495,-2.468885,1.067470,90.631187,2.572782,1.744008,-0.642070
57,0.238000,0.640772,0.219641,0.048032,2.763603,1.977715,-2.855485,-2.519599,1.041740,90.594704,2.572821,1.743937,-0.642084
58,0.242000,0.629876,0.208467,0.043772,2.763599,1.977722,-2.855493,-2.591976,1.053212,90.573433,2.572842,1.743847,-0.642125
59,0.246000,0.644997,0.204754,0.049381,2.763593,1.977722,-2.855477,-2.629923,1.012817,90.549034,2.572882,1.743813,-0.642152
60,0.250000,0.626631,0.209237,0.042214,2.763596,1.977713,-2.855492,-2.732018,0.992959,90.579002,2.572881,1.743753,-0.642081
61,0.254000,0.640028,0.210244,0.045102,2.763594,1.977715,-2.855493,-2.764259,0.979327,90.525665,2.572912,1.743695,-0.642129
62,0.258000,0.630715,0.202120,0.035745,2.763589,1.977708,-2.855495,-2.789116,0.945111,90.501266,2.572984,1.743631,-0.642136
63,0.263000,0.623150,0.205334,0.044041,2.763601,1.977713,-2.855490,-2.828857,0.927026,90.479218,2.573027,1.743548,-0.642149
64,0.267000,0.649761,0.199103,0.046591,2.763594,1.977712,-2.855479,-2.854269,0.905512,90.419304,2.573044,1.743490,-0.642171
65,0.271000,0.652067,0.205443,0.044099,2.763593,1.977731,-2.855479,-2.904729,0.915695,90.351494,2.573110,1.743382,-0.642249
66,0.275000,0.634485,0.195937,0.031521,2.763598,1.977724,-2.855488,-2.979240,0.911508,90.312752,2.573176,1.743244,-0.642277
67,0.279000,0.610640,0.190057,0.031815,2.763595,1.977706,-2.855487,-3.066707,0.893359,90.289154,2.573252,1.743195,-0.642276
68,0.283000,0.610474,0.195945,0.037430,2.763602,1.977707,-2.855489,-3.118676,0.886199,90.256271,2.573268,1.743063,-0.642288
69,0.288000,0.629924,0.202558,0.045448,2.763603,1.977705,-2.855488,-3.249722,0.847116,90.213211,2.573354,1.743011,-0.642349
70,0.292000,0.629380,0.189546,0.037327,2.763594,1.977717,-2.855502,-3.394397,0.804084,90.163956,2.573421,1.742970,-0.642417
71,0.296000,0.634005,0.202971,0.041979,2.763594,1.977716,-2.855485,-3.520639,0.773385,90.122391,2.573485,1.742910,-0.642441
72,0.300000,0.612386,0.212298,0.040354,2.763592,1.977716,-2.855494,-3.666630,0.752354,90.090797,2.573565,1.742821,-0.642443
73,0.304000,0.606446,0.210118,0.045724,2.763595,1.977706,-2.855491,-3.775992,0.737818,90.052437,2.573642,1.742758,-0.642469
74,0.308000,0.621113,0.209860,0.044171,2.763597,1.977722,-2.855494,-3.872653,0.726013,90.043823,2.573713,1.742675,-0.642440
75,0.313000,0.612323,0.208995,0.041797,2.763596,1.977726,-2.855492,-3.952169,0.710649,90.016853,2.573799,1.742598,-0.642436
76,0.317000,0.634940,0.203351,0.039072,2.763599,1.977733,-2.855493,-4.052260,0.684536,89.988518,2.573877,1.742525,-0.642415
77,0.321000,0.585872,0.201286,0.036753,2.763601,1.977722,-2.855506,-4.117143,0.684805,89.957748,2.573906,1.742413,-0.642380
78,0.325000,0.620605,0.209905,0.039504,2.763592,1.977718,-2.855484,-4.143972,0.728001,89.952660,2.573960,1.742241,-0.642319
79,0.329000,0.625607,0.209046,0.043679,2.763591,1.977712,-2.855485,-4.188413,0.759732,89.980911,2.574010,1.742137,-0.642187
80,0.333000,0.639985,0.206872,0.044335,2.763594,1.977716,-2.855498,-4.197252,0.745042,89.958832,2.574115,1.742084,-0.642090
81,0.338000,0.623534,0.207963,0.046523,2.763603,1.977715,-2.855480,-4.224510,0.729682,89.925774,2.574196,1.742026,-0.642057
82,0.342000,0.646405,0.218203,0.047764,2.763598,1.977723,-2.855482,-4.262008,0.709758,89.891037,2.574290,1.741987,-0.642017
83,0.346000,0.660423,0.218423,0.048109,2.763598,1.977725,-2.855463,-4.242442,0.754153,89.946991,2.574331,1.741868,-0.641779
84,0.350000,0.639064,0.209020,0.042473,2.763602,1.977727,-2.855478,-4.200245,0.779349,89.948204,2.574432,1.741758,-0.641612
85,0.354000,0.640973,0.208346,0.043415,2.763592,1.977715,-2.855475,-4.186014,0.821800,89.935059,2.574504,1.741577,-0.641492
